转债编码,名称,正股代码,正股名称,转债价格,溢价率,信用,续存期,税前收益率,营收(亿元),应收同比(%),净利润(亿元),净利润同比(%),利润率(%),利润率同比(%),ROE(%),ROE同比(%),负债率,负债率同比(%),报告期,PB,股票市值(亿元),转股余额(亿元),余额/股本(%),双低值
118000,嘉元转债,688388,嘉元科技,115.19,25.8,AA-,0.02,0.85,7.89,-32.76,1.17,-56.57,14.77,-35.42,4.59,-80.11,12.08,232.09,2020-09-30,6.57,167.0,12.4,6.8,140.99
123100,朗科转债,300543,朗科智能,102.611,10.2,AA-,0.02,2.37,10.72,6.2,0.87,14.75,8.11,7.99,10.84,0.18,42.32,17.46,2020-09-30,3.59,29.0,3.8,12.0,112.81
123099,普利转债,300630,普利制药,115.2,26.3,AA-,0.04,1.21,7.82,28.51,2.85,38.3,36.44,7.62,25.5,20.11,29.67,14.28,2020-09-30,9.41,184.0,8.5,4.2,141.5
123098,一品转债,300723,一品红,142.2,24.5,AA-,0.08,-2.35,11.94,0.25,1.97,17.19,16.46,16.9,14.04,13.68,29.91,43.82,2020-09-30,5.75,84.0,4.8,6.5,166.7
123097,美力转债,300611,美力科技,104.3,6.2,A+,0.07,2.72,4.33,7.52,0.31,33.46,7.25,24.14,4.96,41.31,41.94,5.89,2020-09-30,2.55,16.0,3.0,17.9,110.5
123096,思创转债,300078,思创医惠,106.31,8.1,AA-,0.06,2.72,10.28,-3.73,0.77,-36.5,7.49,-34.07,2.63,-51.21,34.28,-0.51,2020-09-30,2.32,71.0,8.17,11.4,114.41
113621,彤程转债,603650,彤程新材,117.26,10.7,AA,0.08,-0.32,15.0,-8.44,3.29,0.29,21.95,9.53,14.1,2.69,41.64,12.27,2020-09-30,8.68,205.0,8.0,4.1,127.96
113042,上银转债,601229,上海银行,101.21,28.0,AAA,0.11,3.18,375.36,-0.91,150.52,-7.99,40.1,-7.15,9.2475,-16.35,92.33,0.3,2020-09-30,0.74,"1,239",200.0,12.8,129.21
113619,世运转债,603920,世运电路,101.26,62.3,AA,0.09,2.28,18.14,2.69,2.15,-0.97,11.87,-3.57,8.18,-9.31,31.85,23.67,2020-09-30,2.6,68.0,10.0,9.2,163.56
123093,金陵转债,300651,金陵体育,110.45,24.2,A+,0.09,2.82,3.0,-2.99,0.3,8.43,9.83,11.83,4.36,-19.26,28.73,-1.79,2020-09-30,8.23,56.0,2.5,3.9,134.65
